RecordType,vesselFlagCountry,year,workingGroup,stock,speciesCode,catchCategory,domainBiology,distributionType,distributionUnit,distributionClass,ageGroupPlus,attributeType,attributeValue,variableType,variableUnit,valueType,value,variance,PSU,num_PSUs,numTrips,numMeasurements
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,12.5,,Sex,U,Number,k,Total,424.481,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,12.5,,Sex,U,WeightLive,kg,Mean,0.015,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,13,,Sex,U,Number,k,Total,1225.328,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,13,,Sex,U,WeightLive,kg,Mean,0.017,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,13.5,,Sex,U,Number,k,Total,1675.133,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,13.5,,Sex,U,WeightLive,kg,Mean,0.019,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,14,,Sex,U,Number,k,Total,1544.606,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,14,,Sex,U,WeightLive,kg,Mean,0.021,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,14.5,,Sex,U,Number,k,Total,787.323,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,14.5,,Sex,U,WeightLive,kg,Mean,0.023,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,15,,Sex,U,Number,k,Total,361.547,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,15,,Sex,U,WeightLive,kg,Mean,0.026,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,15.5,,Sex,U,Number,k,Total,241.216,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,15.5,,Sex,U,WeightLive,kg,Mean,0.028,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,16,,Sex,U,Number,k,Total,376.548,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,16,,Sex,U,WeightLive,kg,Mean,0.031,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,16.5,,Sex,U,Number,k,Total,284.084,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,16.5,,Sex,U,WeightLive,kg,Mean,0.034,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,17,,Sex,U,Number,k,Total,291.982,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,17,,Sex,U,WeightLive,kg,Mean,0.037,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,17.5,,Sex,U,Number,k,Total,191.165,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,17.5,,Sex,U,WeightLive,kg,Mean,0.04,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,18,,Sex,U,Number,k,Total,218.405,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,18,,Sex,U,WeightLive,kg,Mean,0.043,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,18.5,,Sex,U,Number,k,Total,296.185,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,18.5,,Sex,U,WeightLive,kg,Mean,0.047,,FishingTrip,7,7,574
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,19,,Sex,U,Number,k,Total,200.894,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,19,,Sex,U,WeightLive,kg,Mean,0.051,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,19.5,,Sex,U,Number,k,Total,137.073,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,19.5,,Sex,U,WeightLive,kg,Mean,0.055,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,20,,Sex,U,Number,k,Total,94.042,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,20,,Sex,U,WeightLive,kg,Mean,0.059,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,20.5,,Sex,U,Number,k,Total,51.759,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,20.5,,Sex,U,WeightLive,kg,Mean,0.063,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,21,,Sex,U,Number,k,Total,34.74,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,21,,Sex,U,WeightLive,kg,Mean,0.068,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,21.5,,Sex,U,Number,k,Total,15.835,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,21.5,,Sex,U,WeightLive,kg,Mean,0.073,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,22,,Sex,U,Number,k,Total,6.141,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,22,,Sex,U,WeightLive,kg,Mean,0.078,,FishingTrip,5,5,419
